Time,event_id,event_type,abstract,safety,event_narrative
2/1/1999,825,Aeronautics Research,,FALSE," In cases where computer-aided RBD analyses are not performed, personnel may evaluate the reliability merits of the design using a more qualitative approach or pursuing a hand calculation method. The qualitative or manual methods may require more time than is available to influence the program's design decision processes. Rigorous hand calculations also leave room for error or incompleteness. In either of these cases, reliability and maintainability disciplines could prove to be relatively ineffective. "
2/1/1999,824,Aeronautics Research,,FALSE," Failures of components encountered in space due to the use of non-rad-hard devices can lead to catastrophic results, which may lead to loss of spacecraft and possibly loss of life. Disregard for these guidelines can cost a program significant resources and make the difference between success and failure of a space mission. "
2/1/1999,823,Aeronautics Research,,FALSE, Modal testing is used to verify analytical models or FEMs of a structure or payload. Failure to perform this testing could cause much greater errors and uncertainty in these analytical models. This could lead to failure in a structure or payload. 
2/1/1999,734,Aeronautics Research,,FALSE," Failure to adhere to the practices suggested herein could result in contamination entry into sensors, excessive uncompensated sensor drift, incompatibility of the instrumentation system with other subsystems, failure to meet telemetry requirements, and possible loss of the mission through inadequate diagnostics and inappropriate control or vehicle destruction. At the minimum, expensive delays, replacement and repair may be incurred to achieve successful flight objectives. "
2/1/1999,732,Aeronautics Research,,FALSE, Not following this practice in the handling of ESDS devices can and most likely will result in damage to these devices. One common form of this damage is a deterioration-to-failure process which may not be detected by ground testing. The damaged device may result in early degradation in performance or in mission failure. 
2/1/1999,730,Aeronautics Research,,FALSE," If sine-burst testing is not performed, structural load requirements should be satisfied by a static, sine sweep/dwell, or centrifuge load test or by conservative analysis. "
2/1/1999,728,Aeronautics Research,,FALSE, Inadequate procedures in the procurement and acceptance of fasteners could permit the use of inappropriate or defective fasteners in flight hardware and result in mission failure. 
2/1/1999,791,Aeronautics Research, The identification of project/task risk just prior to launch/delivery becomes a costly and time-consuming activity. Early and continuous risk ratings enable management to focus on the issues with the highest probability of impacting mission success. Project management is provided with visibility to a concise subset (&lt;5 percent) of a large information base focusing on the key problematic areas in a timely fashion. ,FALSE," The identification of Project/Task risk just prior to launch/delivery becomes a costly and time-consuming activity. Even with a protracted, intensive study, some key issues may be missed. "
2/1/1999,789,Aeronautics Research," Preferred Practice for Design &amp; Test. In the absence of inheritance review, one or more potential problems adversely impacting the system, subsystem, or project may not be identified in a timely manner. Conduct a formal design inheritance review at the system, subsystem, or assembly level prior to, or in conjunction with, the corresponding subsystem Preliminary Design Review (PDR). The purpose of the inheritance review is to identify those actions which will be required to establish the compatibility of the proposed inherited design, and any inherited hardware or software, with the subsystem functional and design requirements. ",FALSE," In the absence of inheritance review, one or more potential problems adversely impacting the system, subsystem, or project may not be identified in a timely manner. This oversight may later result in a condition having a significant adverse effect on quality, reliability, capability, schedule, or cost, accompanied by an increased risk of diminished performance or mission failure. "
2/1/1999,769,Aeronautics Research," Preferred Practice for Design &amp; Test. Once radio frequency (RF) hardware is delivered, it may be too late to select an alternative radio architecture or mitigate the impact of any constraints on radio performance. Analyses are performed early in the design of RF hardware to determine hardware-imposed limitations that affect radio performance. These limitations include distortion, bandwidth constraints, transfer function non-linearity, non-zero rise and fall transition time, and signal-to-noise ratio (SNR) degradation. Performance evaluation is a concern because RF hardware performance is sensitive to thermal and other environmental conditions, and reliability testing is constrained by RF temperature limitations. ",FALSE," The performance of the delivered product may be compromised if the hardware imposed limitations are not evaluated early in the design phase. Once the hardware is delivered, it is too late to select an alternative radio architecture, and there are few opportunities to mitigate the impact of any constraints on radio performance. Lacking insight into RF hardware characteristics, test engineers may waste valuable engineering hours determining the basis for the variance between expected and observed performance. For flight projects, costly problem/failure reports and project waivers will likely be processed due to the lack of an early understanding of hardware limitations. "
2/1/1999,822,Aeronautics Research,,FALSE, The impact of non-practice is that the larger environmental chamber could be used which would increase costs and time to perform vibration/thermal testing. This would expose the shaker armature to more weight and cold soak temperature extremes. The additional weight can cause armature failure while the lower temperatures can cause armature brittleness and subsequent failure and the higher temperatures can cause vibration shaker shutdown. 
2/1/1999,821,Aeronautics Research,,FALSE," The consequences of non-practice can lead ultimately to loss of life, and secondarily property. The very nature of the critical systems which drive the requirement to use ATS to guard against loss of power demand maximum reliability. "
2/1/1999,726,Aeronautics Research,,FALSE, Nonpractice of End-to-End Compatibility and Mission Simulation Testing could result in marginal performance or failure of the mission due to incompatibilities in the Ground Data System. Control center operational errors due to inadequate training could significantly impact the health and safety of the spacecraft. 
2/1/1999,722,Aeronautics Research,,FALSE," If this practice is not implemented, electrical harnesses used on spacecraft and instruments may not conform to their electrical and space environmental requirements. Harnesses may not be properly tested, cleaned, and certified prior to installation into spacecraft and instruments. This could result in early mission failures. "
2/1/1999,787,Aeronautics Research," Preferred Practice for Design &amp; Test. In the absence of an acoustic noise requirement for spacecraft design and test, critical hardware that would likely survive other mission phases may fail when exposed to the mechanical stresses of launch. Since the primary vibroacoustic environment occurs at the very beginning of a mission, such failures are likely to have a greater mission impact than failures induced by other space environments over time. 

     Impose an acoustic noise requirement on spacecraft hardware design to ensure the structural integrity of the vehicle and its components in the vibroacoustic launch environment. During the launch of a rocket, such noise is generated by the release of high velocity engine exhaust gases, by the resonant motion of internal engine components, and by the aerodynamic flow field associated with high speed vehicle movement through the atmosphere. This environment places severe stress on flight hardware and has been shown to severely impact subsystem reliability.  
     ",FALSE," In the absence of an acoustic noise requirement for spacecraft design and test, critical hardware which would likely survive other mission phases may fail when exposed to the mechanical stresses of launch. Since the primary vibroacoustic environment occurs at the very beginning of a mission, such failures are likely to have a greater mission impact than failures induced by other space environments over time. "
2/1/1999,767,Aeronautics Research," Preferred Practice for Design &amp; Test. Out-of-specification performance may occur during system EMC tests. The risk of higher cost and the impact on the schedule, late in the program, must be weighed against the cost of providing a reasonable design margin during the design phase of a program. Initially, the design requirements for each subsystem are established so that all non-functional emissions will be at least 9 Db below the emission specification limit. ",FALSE," Out-of-specification performance may occur during system EMC tests. The risk of higher cost and the impact on the schedule, late in the program, must be weighed against the cost of providing a reasonable design margin during the design phase of a program. "
2/1/1999,820,Aeronautics Research,,FALSE," The use of an older, less accurate timing system would not provide the reliability, accuracy and the monitor and feedback capabilities that may be required or desired for timing of some present-day systems. "
2/1/1999,819,Aeronautics Research,,FALSE," Not performing a complete and comprehensive stress analysis on the spacecraft structural components may lead to an inadequate design with unsafe or inefficient load paths. Without proper stress analysis, the objectives of minimum weight and a balanced design will not be met. Structural testing may also be misguided in that some components may be inadequately tested while others may be over-stressed. "
2/1/1999,818,Aeronautics Research,,FALSE, Noncompliance with the use of NASA qualified parts would result in the use of unqualified and untested parts in spaceflight hardware. These unqualified parts could result in marginal performance and failure to perform in or survive the environmental exposure of space. 
2/1/1999,720,Aeronautics Research,,FALSE," If end-to-end systems measurements are not made on spaceborne or space-related optical imaging systems, then the consequences could be the ultimate failure of the mission in-whole or in-part. The Hubble Telescope should be a constant reminder of this. "
2/1/1999,785,Aeronautics Research," Preferred Practice for Design &amp; Test. Unless performed at the assembly level, the probability of failure during systems acoustic testing, or during flight due to the acoustic environment, is increased. Subject selected (large surface area, low mass) assemblies, in addition to the full-up flight system, to acoustic noise. It is imperative on missions with fixed launch windows that acoustic problems on assemblies not be deferred to system level tests. ",FALSE," The probability of failure during systems acoustic testing, or during flight due to the acoustic environment, is increased. "
